keywords.id,keywords.name
35671,nonlinear constraints
43042,engineering design problems
30,natural language processing
1446,model-based testing
4656,language modeling
5567,neural machine translation
8657,clone detection
26822,automated program repair
36816,software repositories
39577,deep learning models
815,culture
1175,taxonomy
2442,experimentation
4396,dna
13878,next-generation sequencing
13913,women
19607,bacteria
28398,speciation
32,wireless sensor networks
58,sensor network
416,energy consumption
1299,surveillance
1756,fall detection
2182,topology control
2185,routing protocols
2572,testbed
6997,signal strength
11445,body sensor networks
15687,mac protocols
17768,empirical data
20092,false positives
21378,simulators
25020,energy savings
47073,irregularity
42,temporal logic
123,speech recognition
1903,situation calculus
2085,constraint propagation
2368,speech
2962,dialogue
3681,natural language understanding
4606,plan recognition
4732,axiomatization
6766,english
10698,cooperative behavior
14211,spoken language understanding
15727,intentions
18860,reasoning algorithm
23870,multiple agents
37399,conversational systems
52215,edition
749,game design
2586,game
3354,narrative
8408,play
10876,player experience
31229,emotional response
43341,variants
43504,designers
74958,outbreak
69,virtual machine
101,operating system
605,encryption
781,real-time systems
2127,execution model
2531,infrastructure
5385,high performance
12088,code segment
12334,interconnection
15190,linux kernel
24250,memory safety
31905,kernel code
72411,software failures
76,pattern recognition
1337,reuse
7902,data reuse
8097,control flow
11735,shared cache
13713,program code
16495,program optimization
19983,program behavior
20410,compiler optimizations
24303,software system
27751,processor speed
74536,grammar compression
4,data mining
186,shared memory
3149,benchmark suite
3801,software transactional memory
4351,bayesian estimation
11528,tcp/ip
15706,microprocessor
16017,phylogenetic inference
19593,instruction-level parallelism
25512,microarchitecture
193,human-computer interaction
387,collaborative learning
6706,portability
7738,dialogue systems
8437,task performance
17893,computer technology
20268,science fiction
22466,natural language semantics
33895,integrated system
60565,theoretical work
66941,research platform
73755,trains
106,machine translation
692,statistical machine translation
2565,semantic representation
3001,target word
3262,classifiers
3345,training data
4595,clustering algorithms
5854,grammar
7213,input sentence
11461,syntactic parsing
20134,syntactic tree
30946,coreference
32768,proposition
35451,labels
45115,statistical classifiers
52291,predicate
72609,annotated corpus
806,quantum cryptography
1883,np-hardness
2412,preferences
2578,complexity theory
3226,condorcet winner
3854,polynomial hierarchy
6630,polynomial interpolation
15140,turing machines
19738,election
26278,bribery
30837,computational complexity theory
32230,presidential election
42885,plurality
63632,voter
75892,winner
16,artificial intelligence
298,unsupervised learning
322,healthcare
394,search engine
413,emotion
438,mean square error
3272,prosody
4413,mental health
5791,anxiety
10109,audit
10384,machine learning algorithms
22244,log data
25487,virtual assistant
33820,communication skills
34139,real-time feedback
122,learning
382,supervised learning
945,domain knowledge
1079,mixture model
4235,learning rate
4336,decision maker
5015,competitive learning
8554,task decomposition
8873,on-line learning
9674,error function
13174,generalized linear models
31053,visual learning
38471,robot dynamics
314,pervasive computing
328,activity recognition
1568,satisfiability
1741,temporal reasoning
2483,sensor data
5985,constraint satisfaction problems
9693,stochastic search
21174,combinatorial search
23862,gps data
25096,scheduling problems
43951,satisfiability problems
45,computer vision
2540,semantic
3038,medical diagnosis
3603,segmentation algorithm
5067,digital image
5071,youtube
5375,scene classification
7000,social media analytics
13016,background clutter
22641,social relationships
23541,videos
26356,classification problems
66105,web videos
11,feature selection
852,feature space
971,open data
2742,query performance
5347,feature engineering
8571,classification performance
8597,search problem
9195,statistical models
11079,runtime
21471,data-driven approach
23650,predictive modelling
28385,web data
42063,data lakes
52603,empirical results
55992,optimal number
507,concurrency
509,parallel algorithms
543,input graph
1295,graph algorithms
6179,concurrent execution
7312,runtime environment
9824,system throughput
15747,throughput optimization
24469,real hardware
72503,nvidia
336,parse tree
581,refinement
4614,formalization
6966,template
21327,logical form
25304,semantic processing
28768,syntactic
73757,constructs
402,knowledge acquisition
7041,discourse
7890,state constraints
8373,prioritization
10210,propositions
12344,world knowledge
19856,semantic rules
23533,discourse representation theory
24565,language understanding
42792,precondition
76472,preprocessing techniques
5578,multiprocessor
7231,queue
9855,free software
12786,contention
15411,hardware support
19761,scalable algorithm
24033,parallel programs
25985,locks
39065,concurrent objects
44049,immunity
113,polynomial time
878,graph drawing
2108,intersection graph
2140,simulated annealing algorithm
5270,bipartite graphs
6182,inapproximability
6726,open problem
10891,matchings
16529,approximate counting
26527,polynomial-time approximation scheme
33758,phylogenetic reconstruction
36604,string graphs
48986,bounded degree graphs
50886,plane drawing
74632,glauber dynamics
22,privacy
361,anonymity
2102,secure computation
2788,background knowledge
3597,public-key cryptography
4599,experimental evaluation
9053,popularity
10347,homomorphic encryption scheme
11449,sensitive information
11830,zero-knowledge proofs
13792,one-way functions
23574,unified framework
23907,optimal rate
50715,formal foundation
37,image segmentation
40,segmentation
324,data stream
1523,video analysis
1963,multimodal
3511,audio
5123,language models
8263,annotations
11346,hierarchical segmentation
12844,auditory
17148,streaming video
17440,natural language description
18497,voxel
20423,superpixel segmentation
37614,computer vision community
54496,video super-resolution
112,convolutional neural networks
759,deep neural networks
14586,web browsing
15824,amazon mechanical turk
23256,battery capacity
37052,optimization framework
42100,dense matrix
66234,mobile web applications
165,cryptography
306,multimedia
613,wireless network
716,decomposition
2443,marketing
2537,wi-fi
2717,automorphism group
8879,hyperelliptic curves
9796,embedded devices
21674,genus
26713,curves
37134,parametric
39406,filesystem
39752,mathematical theory
55439,natural question
75109,bluetooth technology
315,question answering
614,ranking
2965,user feedback
3012,implicit feedback
3331,document collection
4248,spam detection
9024,social interactions
9792,structured data
10385,community question answering
25764,ranking algorithms
26914,information sources
39119,web search engine
55460,text documents
4842,network interface
6795,application code
11652,deadline
25540,turing
25873,available bandwidth
30907,communication performance
39381,many-core architectures
52535,critical analysis
67101,detailed design
67199,previous implementation
506,breast cancer
1042,medical imaging
1076,diagnosis
1102,computed tomography
2713,deep convolutional neural network
3774,prostate cancer
5053,obesity
6354,genomics
9509,sample complexity
9931,proteomics
12910,tumor
18605,cancer diagnosis
33857,radiology report
35554,discriminative models
40209,pulmonary embolism
47776,clinical notes
1841,health care
2626,diabetes
2953,cross-validation
4888,sequencing
12134,disparity
13346,disease
14958,therapy
16184,biomarker
19767,mortality
22787,machine learning approach
23378,race
24430,clinical data
24751,patients
24754,ethnicity
32510,diet
36243,syndrome
38515,storm
43776,sars
47018,vaccine
51966,leave-one-out cross-validation
59674,socioeconomic status
65049,lesions
73908,drug
147,routing
504,fairness
1077,video
1432,video stream
4057,buffer management
4730,granularity
5971,solution space
8495,maximum throughput
9294,utilization
9712,multicast communication
11251,economy
22762,message
25937,bandwidth cost
59880,optimal solutions
64730,high bandwidth
76487,packet scheduling algorithm
1214,linear time
1492,entity recognition
3382,corpus
3906,dependency parsing
6243,part-of-speech tagging
9344,application development
11925,biomedical
14724,semantic annotations
15970,parsing algorithm
20539,parser
28875,linguistic annotation
45091,statistical dependency
124,fault tolerance
1119,hpc
6213,recommendations
7820,system reliability
7854,data centers
11249,failures
13362,memory subsystem
13771,supercomputing
22312,carbon emissions
48088,cache partitioning
75620,external factors
572,natural language
589,intelligent tutoring system
804,language model
850,target language
1022,natural language generation
1132,coverage
1311,computer science
2026,teaching
4244,false positive rate
6392,tutoring system
8084,empirical analysis
11111,multiple regression
16354,test cases
40986,student behavior
53766,dialogues
74041,checking
78731,student data
115,data structure
120,planar graph
125,communication network
622,simple polygon
4039,approximation scheme
7827,database systems
15149,convex sets
15571,extremal optimization
25509,planarity
34814,standard method
43742,optimal time
55303,hidden subgroup problem
71914,worst-case ratio
74627,polygonal obstacles
78937,preprocessing time
86,ubiquitous computing
304,mobile computing
2689,electronic health records
3048,depression
3685,context-aware computing
18482,major depressive disorder
18867,adolescents
18868,parents
25592,psychotherapy
27990,research design
29896,clinical research
34141,cognitive behavioral therapy
44801,blood glucose
64901,study design
1176,false alarm
3130,heart rate
3547,electrocardiogram
4795,multi-layer perceptron
6040,physiological signals
8010,blood pressure
11962,arrhythmia
12293,machine learning method
12359,intensive care unit
13430,coronary artery disease
18876,cardiology
27610,ventricular tachycardia
36441,training set
53459,heart rate estimation
60972,test set
64900,research groups
70142,signal quality
141,education
240,linked data
730,classical logic
1011,constraint logic programming
2238,computational thinking
3044,record linkage
6446,knowledge bases
7318,proof procedure
9704,efficient algorithms
10407,inference rules
11665,logic programs
17010,paraconsistent logics
2799,frequent pattern mining
4683,linux
5380,process execution
7227,mining
15526,data mining techniques
30882,communication patterns
72930,engineers
74391,manual inspection
803,image restoration
969,fast fourier transform
2388,inverse problems
7143,image deblurring
9496,preconditioned conjugate gradient
11404,fast algorithms
13537,color images
14480,approximate solutions
20404,toeplitz matrices
22875,blur
23522,computational methods
42853,iterative regularization
43292,matrix computations
64976,preconditioned matrix
647,open source
2017,receiver operating characteristic curve
2019,system design
8341,emergency
10438,hospitals
17892,triage
40507,symptoms
80386,healthcare professionals
191,image registration
923,magnetic resonance imaging
2668,neuroscience
3125,positron emission tomography
3525,diffusion tensor imaging
4945,noisy data
5268,supervised machine learning
6138,competitiveness
7198,learning algorithms
13448,cardiac motion
24329,deep networks
24886,nonlinear dynamical systems
56535,residual neural networks
61163,patient data
1274,maintenance
5154,age estimation
6617,ultrasound imaging
12112,sequence learning
17378,rural areas
17714,short-term memory
22525,time-frequency
34991,convolutional
1778,medical informatics
4538,user-generated content
9189,google scholar
9790,tweets
13150,social media data
29465,pharmacovigilance
30029,adverse drug reactions
34137,medication
40241,research problem
41,convolutional neural network
154,parallel computing
3063,brain tumor
4714,radiology
6739,digital pathology
8798,predictive models
13000,glioblastoma
16127,biomedical research
19573,pathology
38539,protected health information
49154,mice
1261,cad
2055,gene expression
3940,meta-analysis
11247,genetics
11442,hypertension
13560,cardiovascular disease
38168,chronic kidney disease
41918,body mass index
54004,biological pathways
56622,single nucleotide polymorphisms
58931,kidney function
65264,risk score
74478,genome-wide association studies
1517,abstract state machine
3706,process control
5204,computers
14223,multiprocessor systems
15853,tutorial
16628,task environment
18506,troubleshooting
20572,computing system
28475,startup
28696,network computing
38505,computational resource
167,computational geometry
4951,medical images
8241,surgical planning
9445,mathematical models
10472,atherosclerosis
12137,blood flow
14141,stokes equations
22163,stenosis
25225,multiscale modelling
31173,fixed point problem
36121,flow rate
64778,vessels
65138,approximate factorization
171,web services
915,multicast
1602,information sharing
4051,group communication
5210,policies
6180,overlay networks
12787,unicast
25462,cache optimization
28967,commodity hardware
30954,servers
36020,caches
43041,url
43056,gossip protocols
62813,root causes
1234,visual analytics
2257,data model
2741,design space
2983,high-dimensional data
3670,expertise
6926,conceptual framework
11347,machine learning techniques
15708,heuristic approach
17671,analytical models
20240,behavioral patterns
22384,visualizations
25795,theoretical foundations
32805,cognitive biases
42624,opinions
43498,user interactions
59297,ranking data
3400,lung cancer
4589,air pollution
5091,prediction error
9356,chronic obstructive pulmonary disease
13522,asthma
13920,clinical trial
14028,epidemics
17569,infectious diseases
19528,health data
20727,virus
27644,preterm birth
34969,spatial models
55683,smoking
66480,disease surveillance
449,ensemble learning
1513,random forests
1638,redundancy
2081,power management
3674,prediction accuracy
7905,deduplication
8969,land use
11581,regression models
13980,rare events
16233,bottleneck
21169,storage systems
21859,data loss
31817,random forest model
58782,enterprise data
11740,mouse
13689,rna
19665,genome
23708,human brain
30527,statistical software
31984,interactive environment
36756,brain function
43865,colon cancer
47510,neurological disorders
48979,enzyme
481,peer-to-peer
948,differential privacy
972,reputation
1731,trust model
3413,trustworthiness
3829,online communities
9507,p2p network
9707,reputation systems
9710,threats
10152,ecommerce
17134,malicious nodes
19533,federated learning
29357,feedback system
99,recommender system
168,collaborative filtering
332,semi-supervised learning
462,business intelligence
1330,user preference
1676,representation learning
2042,heterogeneous networks
4197,network embedding
8072,business value
8809,graph analysis
15142,neural architecture
24749,academia
24803,real-world applications
70406,social media networks
78433,online platforms
11002,massive data
12176,cancer detection
12368,risk factors
12753,hiv
13107,biomarkers
22843,k-means clustering algorithm
23819,biological systems
28057,vaccination
33291,pcr
33603,human immunodeficiency virus
35061,hiv-1
46388,computation efficiency
56608,disease progression
62378,immunohistochemistry
2447,cancer
6455,melanoma
7864,prevention
9199,signaling
11769,inhibition
15293,transcription
15509,recruitment
19386,homeostasis
27014,activation
35057,tumor growth
40018,mutations
6288,unsupervised clustering
9807,molecular similarity
10364,clinical trials
25703,deletion
40500,chromosome
41760,disease classification
42641,gliomas
75009,grades
1291,gene expression data
1833,classification accuracy
11586,prognosis
31397,grading
31612,clinical diagnosis
52551,sampling bias
55267,cell division
60692,histological images
68562,microscopy images
1483,heart rate variability
4400,atrial fibrillation
7840,sleep
8009,hospital
13798,sleep apnea
25702,interpretable machine learning
31497,biomedical applications
36727,sepsis
44683,cardiac arrhythmia
45957,noise covariance matrix
62459,real-time prediction
2051,mooc
3856,instant messaging
4727,students
4878,demo
6918,email
9042,website
11398,classroom
14491,class
25345,bot
28372,paper
46625,forms
59785,stages
89,social network
381,random graph
2697,preferential attachment
3420,fast algorithm
3631,optimization algorithm
3785,auctions
5723,advertising
12578,dense graph
17705,revenue
20269,personalized pagerank
23139,local maximum
29200,extremal graph theory
29219,potts model
50748,viruses
53496,large graphs
54761,hidden variables
65992,graph sequence
494,user study
574,automation
1112,code generation
4956,programming model
5277,layout
8443,interviews
11437,expert
23754,replay
33154,instructions
38419,probabilistic programs
38693,scripts
28464,homomorphisms
29010,percolation theory
38994,bond percolation
158,rfid
3013,sql
3876,active queue management
8059,database server
9883,network measurement
13640,natural language interfaces
16086,long short term memory
21414,code search
29558,end-to-end learning
33949,circuit optimization
54137,online forums
61396,complex queries
780,concurrency control
2158,private information retrieval
3102,workflows
4380,cache coherence protocol
8023,application logic
10250,query languages
11809,snapshot isolation
13142,conflicts
23395,weak consistency
33465,movies
35871,data store
63064,causal consistency
80572,netflix
992,information hiding
1438,digital watermark
1555,digital forensics
2073,jpeg compression
5676,frequency domain
17311,color filter array
17860,higher-order statistics
19499,image forgery detection
23678,video editing
25075,digital images
42476,inconsistencies
15978,prostate
27982,genes
37700,risk factor
49305,metastasis
83,mutual information
2805,density estimation
5416,maximum likelihood estimator
9411,polynomial approximation
10121,adversarial examples
17058,information measure
18566,defense
21645,entropy estimation
22954,unbiased estimator
39425,alphabet
44340,optimal estimation
53041,concentration inequalities
71098,effective sample size
80176,real-world
296,cnn
801,ground truth
2727,occlusion
10486,location estimation
11626,supervision
11824,bottom-up
13110,discriminative learning
21095,articulation
22610,keypoints
28320,body shape
28868,meshes
59312,leverage
78156,learning framework
80479,automatic estimation
203,dimensionality reduction
590,query optimization
1017,data streams
1826,space complexity
2535,failure probability
3120,data cleaning
5571,dictionary
12728,linear subspace
13173,tradeoff
16530,pseudorandom generators
21664,streaming algorithm
61105,heavy hitters
72765,least squares regression
378,directed acyclic graph
1500,database system
1931,recommendation systems
3967,query processor
7504,human computation
8961,graph search
11511,relational data
12444,large datasets
15649,probabilistic algorithms
60221,workers
1019,facebook
1378,web
1594,dynamic programming algorithm
3248,online
4185,affordances
14421,collective action
15702,crowd
17044,brain networks
22694,job
22829,graph metrics
36100,mechanical turk
71998,crowd work
94,fpga
569,validation
1213,agile
3129,deep reinforcement learning
6055,compilers
6087,data dependency
8904,design flow
8984,specialization
9397,optimization techniques
14849,computation graph
33063,intent
43812,asic implementation
60884,software engineers
61974,hardware development
1300,stochastic optimization
4464,robust estimation
5251,learning process
9150,test error
19382,hacking
19457,robust learning
26760,convex relaxations
28495,semidefinite relaxations
30432,accidents
31005,side effects
42613,research directions
74133,poisoning attacks
75021,future research
75656,malicious users
577,decision trees
1359,adjacency matrix
1411,boolean functions
1879,query complexity
1934,quantum algorithm
2122,randomized algorithms
3596,randomness
5238,graph property
6315,query model
7990,recent result
8661,languages
9326,input length
18311,fourier spectrum
30441,proofs
33363,quantum query complexity
66130,complexities
354,functional programming
401,type system
2045,dependence graph
5286,scheduling algorithm
13121,experimental analysis
17677,dynamic algorithms
17854,incremental computation
25218,memoization
32759,propagation algorithm
53298,code complexity
227,communication
743,communication complexity
1085,lower bounds
2312,graph embedding
2560,threshold
20393,log
28908,symmetric functions
30871,approximate
36626,polynomial degree
37006,fourier coefficients
46601,tradeoffs
51908,combinatorial characterization
73627,quadratic character
687,power consumption
897,cyber-physical systems
1367,wireless
1584,bluetooth
2902,wifi
4309,networking
4914,mobile app
8888,file sharing
11843,smart building
15685,smart phones
30354,buildings
31170,battery lifetime
50063,hvac systems
63541,electrical energy
79,anomaly detection
1554,graph mining
2078,fraud detection
6349,online reviews
9061,dynamic graphs
9380,fraud
15254,law enforcement
19704,weighted graphs
22629,graph data
35650,fake reviews
54576,opinion spam
65988,spammers
78616,real-world graphs
130,software architecture
2013,software evolution
3832,programming languages
3907,architectural design
4421,aspect-oriented programming
9098,aliasing
14321,system implementation
15086,protocol design
17828,program understanding
18579,permissions
23916,object-oriented languages
31438,software defects
63132,modular reasoning
326,high performance computing
1383,data analytics
3209,job scheduling
23951,layout optimization
47190,large-scale simulation
665,fault detection
1466,tcp
3274,storage system
3380,security architecture
13348,consistency model
17920,data communication
22731,internet applications
30689,data-intensive applications
44647,key-value stores
56314,parallel access
474,linear logic
2735,object-oriented programming
6850,contracts
7311,relational model
7392,vulnerabilities
14106,specifications
16593,session types
22948,deadlocks
38733,modal operators
39841,discrete mathematics
43188,curry-howard isomorphism
48837,modular verification
70420,consistency constraints
393,software development
1467,design space exploration
2107,multicore
6457,virtual machines
12126,multi-core processors
12985,linear speedup
13322,secret key
18578,structural complexity
32419,cloud systems
1284,wireless communication
2121,np-hard
2200,caching
4183,video content
7804,queues
8201,production systems
12308,web caching
12364,flow problem
30912,content delivery networks
34911,feedforward networks
44534,feedforward
55734,amazon web services
56546,research interest
72946,side-effects
9785,cache performance
20469,web graph
20548,supercomputers
29648,efficient parallel algorithm
58531,sort algorithm
66144,quicksort algorithm
70012,algorithm designer
977,discrete logarithm problem
1616,random string
3948,web security
6032,probabilistic polynomial time
11355,selection algorithm
12778,zero-knowledge proof
15065,computer program
19676,pseudo random number generator
21037,linear function
40007,recursive functions
51020,secure authentication
63043,time bounds
81118,deterministic algorithms
214,semantics
686,separation logic
1426,mathematical model
1755,equivalence relation
2948,theory
4260,propositional dynamic logic
4557,denotational semantics
5100,deadlock
7238,processes
7947,partial correctness
13236,full abstraction
29107,trace semantics
36338,concurrent processes
52984,number
267,symbolic execution
1443,computer security
1547,program verification
1749,test case generation
3691,binary code
5472,error rate
7389,malware analysis
11300,web server
19274,timing attacks
25010,software systems
29317,openssl
56270,security applications
225,formal verification
600,testing
1151,specification
3220,partial order reduction
4047,correctness
8200,code
10711,non-determinism
13999,tasks
31606,outcomes
44375,virtual file system
53862,experimental evidence
2321,debugging
3905,data flow
4515,visual programming
5406,universities
7694,problem decomposition
10764,programming environment
14814,student performance
26261,editor
46828,top-down design
58298,design phase
67417,courses
72200,instructors
82780,level design
65,authentication
555,type theory
2123,specification language
2126,logical framework
2504,proof search
2761,cryptographic protocols
2984,logic programming language
4558,event calculus
5410,formal analysis
9221,protocol analysis
13209,man-in-the-middle attack
14105,multiset
21758,existential quantification
43190,security protocol analysis
45000,theorem provers
1065,data compression
3494,empirical evaluation
4428,api
9667,sparse data
9868,convolutional network
10230,stochastic gradient
24901,quantile
28518,hamiltonian monte carlo
70906,gpu clusters
2276,indoor positioning
8988,formal description
12084,wireless lans
26638,database applications
32694,mobile computing environment
54432,management systems
56076,in-network aggregation
103,model checking
576,theorem prover
1051,formal specification
1281,abstraction
2733,software verification
3900,technology transfer
5211,bounded model checking
6964,symbolic model checking
7571,binary decision diagrams
13311,verification method
16592,concurrent programs
16906,propositional satisfiability
20165,abstraction refinement
38253,logics
63198,ltl model checking
3336,computer games
4578,university
4764,syntax
5978,teachers
13049,workshop
22333,classes
24728,graduate students
36694,faculty
48107,research projects
56413,results
68992,scientists
974,animation
1061,geodesic distance
1361,texture synthesis
3792,efficient algorithm
4058,digital geometry
8048,dynamic geometry
12102,color information
20825,elliptic problems
21299,geometry processing
25251,neighborhood information
37028,heat flow
48758,computational design
57158,discrete surfaces
65091,numerical robustness
77039,triangulated surfaces
460,safety property
1788,malicious code
6645,assembly language
12238,module system
12557,abstract data types
20450,typing
78630,static type
81207,soundness proof
1336,music
1343,user interfaces
1877,product design
3682,query
5856,computer music
9314,graphics
11059,prototypes
12087,sound synthesis
13273,search algorithms
14202,input devices
18569,midi
20841,musical structure
31015,interactive behavior
49300,personal computers
881,malware
2041,privacy policy
3169,security protocols
3989,personal information
4111,data integrity
5954,experimental design
8530,public policy
16683,code base
22458,formal logic
36308,symmetric key cryptography
60047,key exchange protocols
63901,audit logs
671,empirical study
776,analysis
5964,development process
6567,fault-tolerant
8539,software components
13105,faults
14323,probabilistic framework
21302,inertial navigation
30284,intensity function
43945,theoretical basis
62139,analytical study
77627,reliability improvement
617,motion planning
2141,grasp
4693,formal framework
6843,robotic manipulator
8616,manipulator
9756,polyhedron
12069,priorities
17417,motion planning problem
19507,tactile sensors
19715,planning process
32635,coulomb friction
46858,animations
56317,geometric method
56835,preimages
62396,dynamic objects
70560,planner
164,artificial neural networks
793,robot
5950,back-propagation
24210,fixed-point arithmetic
24852,benchmark problems
29004,network system
43683,correlation learning
46967,feature detectors
61814,knowledge-base
81749,incremental training
737,discrete fourier transform
918,indexing
4989,multidimensional data
10689,image databases
11110,network evolution
15075,large network
15285,internet topology
20405,sparse graphs
30826,epidemic threshold
55491,outbreak detection
190,blockchain
1876,generative adversarial networks
1894,bitcoin
3954,error probability
4812,hypothesis testing
6619,generative models
12382,cryptocurrencies
13118,wireless power transfer
22782,circulant graphs
32774,illusion
41913,graph signal processing
74903,benchmark datasets
76039,secret
23,scheduling
2910,compression algorithm
5058,lossy compression
5935,reasoning task
8273,learning system
9134,planning algorithm
14712,approximate matching
28178,trade
43503,knowledge structures
52346,weather data
54365,stock prices
4711,countermeasures
6438,medicine
8382,privacy risk
10260,malicious behavior
28107,target classification
41778,machine learning models
41847,training algorithms
45269,training phase
79273,adversarial perturbations
217,approximation algorithms
246,singular value decomposition
1496,complete graph
1799,planar graphs
3036,world wide web
3175,probability theory
4524,randomized algorithm
20164,regular graphs
40829,dimensional euclidean space
42765,relaxations
63327,web graphs
2134,research
2777,participation
3666,curriculum
4335,leadership
5772,gender differences
14666,student
